QCC NJ Menu,,,,,,,,,,,,,,,,,,,
"Please download, enter in the number of cases for each offering in column ""h"" and send a copy to kbreiner@qccnj.com / lkeri@qccnj.com when complete.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,*Please complete customer information before submitting*,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Type,Strain,Total THC %,Total Terpene %,Unit Price,Units per Case,Case Count,Total Cost,,,,,,,,,,,
,Clade9 Flower,,,,,,,,,Customer Information,,,,,,,,,
1g,Premium Flower (Mylar),Diamond Dust,31.9%,1%,$9.00,56,,$0.00,,Store Name,,,,,,,,,
,,G13,24-28%,1-3%,$9.00,56,,$0.00,,Street Address,,,,,,,,,
,,LA Piff,26.8%,3.1%,$9.00,56,,$0.00,,"Town, State, Zip",,,,,,,,,
,,Orange Push Pop,34.9%,1.5-1.8%,$9.00,56,,$0.00,,New account: ,yes/no,,,,,,,,
,,Pine Tar,30-33%,1.3-1.6%,$9.00,56,,$0.00,,Payment Terms,,,,,,,,,
,,Razberry Runtz,29-30%,3.00%,$9.00,56,,$0.00,,License#,RE,,,,,,,,
3.5g,Premium Flower (Jars),Diamond Bar,29-30%%,2.9-3.2%,$30.00,32,,$0.00,,SO Date,,,,,,,,,
,,Diamond Dust,25-33%,1%,$30.00,32,,$0.00,,Delivery Date,,,,,,,,,
,,Fig Bar,,,$30.00,32,,$0.00,,,,,,,,,,,
,,G13,25-32%,1-3%,$30.00,32,,$0.00,,,,,,,,,,,
,,J1,28-30%,,$30.00,32,,$0.00,,,,,,,,,,,
,,LA Piff,29.33%,2.51%,$30.00,32,,$0.00,,,,,,,,,,,
,,Lemon Cherry Gelato,28-36%,1-2%,$30.00,32,,$0.00,,,,,,,,,,,
,,Orange Push Pop,31-38%,1.5-1.8%,$30.00,32,,$0.00,,,,,,,,,,,
,,Pine Tar,,,$30.00,32,,$0.00,,,,,,,,,,,
7g,Low Tops (Mylar),Diamond Bar,29-30%%,2.9-3.2%,$50.00,20,,$0.00,,,,,,,,,,,
,,Fig Bar,,,$50.00,20,,$0.00,,,,,,,,,,,
,,G13,24-33%,1%,$50.00,20,,$0.00,,,,,,,,,,,
,,J1,28-30%,,$50.00,20,,$0.00,,,,,,,,,,,
,,LA Piff,29.33%,2.51%,$50.00,20,,$0.00,,,,,,,,,,,
,,Lemon Cherry Gelato,28-36%,1-2%,$50.00,20,,$0.00,,,,,,,,,,,
,,Orange Push Pop,31-38%,1.5-1.8%,$50.00,20,,$0.00,,,,,,,,,,,
,,Pine Tar,30-33%,1.3-1.6%,$50.00,20,,$0.00,,,,,,,,,,,
,,Private Reserve,31-33%,1.6-1.7%,$50.00,20,,$0.00,,,,,,,,,,,
 ,CRAFT KINGS Flower,, , ,,, ,,,,,,,,,,,,
7g,Flower (mylar),Candy Cut,21-31%,1.3-2.4%,$42.50 ,20,,$0.00 ,,,,,,,,,,,
,,Citrus Haze,30.3%,1.8%,$42.50 ,20,,$0.00 ,15% OFF - EXP 10.22,,,,,,,,,,
,,Skunky Funk,28.0%,2.2%,$42.50 ,20,,$0.00 ,15% OFF - EXP 10.22,,,,,,,,,,
14g,,Kings Kush,24.8%,2.4%,$80.00 ,20,,$0.00 ,,,,,,,,,,,
,,Kush Berries,18.7%,1.4%,$80.00 ,20,,$0.00 ,,,,,,,,,,,
